job_id,title,url,location,job_type,salary,total_fields,common_fields,unique_fields
hr-recruitment-specialist-ap00008,HR & Recruitment Specialist - (AP00008),https://saganrecruitment.com/job/hr-recruitment-specialist-ap00008/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
legal-compliance-specialist-ap000009,Legal & Compliance Specialist - (AP00009),https://saganrecruitment.com/job/legal-compliance-specialist-ap000009/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
healthcare-support-specialist-ap00010,Healthcare Support Specialist - (AP00010),https://saganrecruitment.com/job/healthcare-support-specialist-ap00010/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
operations-coordinator-hr98651,Operations Coordinator - (HR98651),https://saganrecruitment.com/job/operations-coordinator-hr98651/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
senior-youtube-video-editor-long-form-educational-hr94028,Senior YouTube Video Editor (Long-Form & Educational) - (HR94028),https://saganrecruitment.com/job/senior-youtube-video-editor-long-form-educational-hr94028/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
client-service-associate-hr82813,Client Service Associate - (HR82813),https://saganrecruitment.com/job/client-service-associate-hr82813/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
onboarding-coordinator-hr57408,Onboarding Coordinator - (HR57408),https://saganrecruitment.com/job/onboarding-coordinator-hr57408/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
inbound-sales-representative-appointment-setter-hr66975,Inbound Sales Representative (Appointment Setter) - (HR66975),https://saganrecruitment.com/job/inbound-sales-representative-appointment-setter-hr66975/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
accounting-finance-specialist-ap00007,Accounting & Finance Specialist - (AP00007),https://saganrecruitment.com/job/accounting-finance-specialist-ap00007/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
client-coordinator-hr79838,Client Coordinator - (HR79838),https://saganrecruitment.com/job/client-coordinator-hr79838/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
software-engineer-developer-ap00005,Software Engineer/Developer – AP00005,https://saganrecruitment.com/job/software-engineer-developer-ap00005/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
sales-business-development-specialist-ap00003,Sales & Business Development Specialist – AP00003,https://saganrecruitment.com/job/sales-business-development-specialist-ap00003/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
operations-project-management-specialist-ap00004,Operations & Project Management Specialist – AP00004,https://saganrecruitment.com/job/operations-project-management-specialist-ap00004/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
data-analyst-ap00006,Data Analyst – (AP00006),https://saganrecruitment.com/job/data-analyst-ap00006/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
supply-operations-manager-hr40243,Supply Operations Manager - (HR40243),https://saganrecruitment.com/job/supply-operations-manager-hr40243/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
construction-operations-manager-hr48162,Construction Operations Manager - (HR48162),https://saganrecruitment.com/job/construction-operations-manager-hr48162/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
virtual-assistant-admin-support-specialist-ap00001,Virtual Assistant (Admin & Support Specialist) – AP00001,https://saganrecruitment.com/job/virtual-assistant-admin-support-specialist-ap00001/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
graphic-ui-ux-designer-ap000002,Graphic & UI/UX Designer – AP00002,https://saganrecruitment.com/job/graphic-ui-ux-designer-ap000002/,,,,16,Age|academic-level|cand_cover_letter|cand_woutreg_cv_file|candidate_apply_cover|gender|industry|job_id|pt_user_fname|pt_user_lname|salary|terms_cond_check|user_email|user_job_title|user_phone|user_salary,
